FID,the_geom,SD_Pcode,D_Pcode,District,TS_Pcode,Township,Town_Pcode,Town_MM,Town,State_Divi,Longitude,Latitude,Level,Source,Lat_Long,Remark
mmr_town_january_2020.43,POINT (98.76685 22.50304),MMR015,MMR015D332,Wein Kawng (Wein Kao) (Wa SAD),MMR015313,Man Man Hseng,MMR015313701,မန်မန်ဆိုင်,Man Man Hseng,Shan (North),98.76685,22.50304,Other Town,Field Sources,"22.50304,98.76685",Town not included in the GAD Gazette
mmr_town_january_2020.44,POINT (98.76408 23.69163),MMR015,MMR015D005,Laukkaing,MMR015022,Laukkaing,MMR015022701,လောက်ကိုင်,Laukkaing,Shan (North),98.76408,23.69163,District Capital,"GAD, Mar 2015","23.69163,98.76408",
mmr_town_january_2020.45,POINT (98.7590942164 11.2650396798),MMR006,MMR006D003,Kawthoung,MMR006010,Bokpyin,MMR006010701,ဘုတ်ပြင်း,Bokpyin,Tanintharyi,98.75909422,11.26503968,Main Town,"GAD, Mar 2015","11.2650396798,98.7590942164",
mmr_town_january_2020.46,POINT (98.75998 10.93336),MMR006,MMR006D003,Kawthoung,MMR006010,Bokpyin,MMR006010703,ကရသူရိ,Karathuri,Tanintharyi,98.75998,10.93336,Other Town,"GAD, Mar 2015","10.93336,98.75998",
mmr_town_january_2020.47,POINT (98.75029 23.42544),MMR015,MMR015D006,Hopang,MMR015021,Hopang,MMR015021701,ဟိုပန်,Hopang,Shan (North),98.75029,23.42544,District Capital,"GAD, Mar 2015","23.42544,98.75029",
mmr_town_january_2020.48,POINT (98.72545 22.71811),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015310,Ka Lawng Hpar,MMR015310701,ကလောင်ဖါ,Ka Lawng Hpar,Shan (North),98.72545,22.71811,Other Town,Field Sources,"22.71811,98.72545",Town not included in the GAD Gazette
mmr_town_january_2020.49,POINT (98.71667 22.37379),MMR015,MMR015D332,Wein Kawng (Wein Kao) (Wa SAD),MMR015316,Nar Kawng,MMR015316701,နားကောင်,Nar Kawng,Shan (North),98.71667,22.37379,Other Town,Field Sources,"22.37379,98.71667",Town not included in the GAD Gazette
mmr_town_january_2020.50,POINT (98.71324 16.29392),MMR003,MMR003D002,Myawaddy,MMR003005,Myawaddy,MMR003005703,​ဝေါလေမြိုင် (ဝေါလေ),Waw Lay Myaing (Waw Lay),Kayin,98.71324,16.29392,Other Town,"GAD, Mar 2015","16.29392,98.71324",
mmr_town_january_2020.51,POINT (98.66354 23.11117),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015302,Nar Wee (Na Wi),MMR015302701,နာဝီး,Nar Wee (Na Wi),Shan (North),98.66354,23.11117,Other Town,Field Sources,"23.11117,98.66354",Town not included in the GAD Gazette
mmr_town_january_2020.52,POINT (98.5338061837 21.2887182142),MMR014,MMR014D002,Loilen,MMR014014,Kunhing,MMR014014702,ကာလိ,Kar Li,Shan (South),98.53380618,21.28871821,Other Town,"GAD, Mar 2015","21.2887182142,98.5338061837",
