FID,the_geom,SD_Pcode,D_Pcode,District,TS_Pcode,Township,Town_Pcode,Town_MM,Town,State_Divi,Longitude,Latitude,Level,Source,Lat_Long,Remark
mmr_town_january_2020.123,POINT (97.63691 16.88076),MMR003,MMR003D001,Hpa-An,MMR003001,Hpa-An,MMR003001701,ဘားအံ,Hpa-An,Kayin,97.63691,16.88076,State/Region Capital,"GAD, Mar 2015","16.88076,97.63691",
mmr_town_january_2020.124,POINT (97.62593 16.48459),MMR011,MMR011D001,Mawlamyine,MMR011001,Mawlamyine,MMR011001701,မော်လမြိုင်,Mawlamyine,Mon,97.62593,16.48459,State/Region Capital,"GAD, Mar 2015","16.48459,97.62593",
mmr_town_january_2020.125,POINT (97.58937 27.28395),MMR001,MMR001D004,Puta-O,MMR001016,Machanbaw,MMR001016701,မချမ်းဘော,Machanbaw,Kachin,97.58937,27.28395,Main Town,"GAD, Mar 2015","27.28395,97.58937",
mmr_town_january_2020.126,POINT (97.5677 26.54373),MMR001,MMR001D004,Puta-O,MMR001015,Sumprabum,MMR001015701,ဆွမ်ပရာဘွမ်,Sumprabum,Kachin,97.5677,26.54373,Main Town,"GAD, Mar 2015","26.54373,97.5677",
mmr_town_january_2020.127,POINT (97.5675 16.08),MMR011,MMR011D001,Mawlamyine,MMR011004,Thanbyuzayat,MMR011004702,ကျိုက္ခမီ,Kyaikkhami,Mon,97.5675,16.08,Other Town,"GAD, Mar 2015","16.08,97.5675",
mmr_town_january_2020.128,POINT (97.56581 20.92536),MMR014,MMR014D002,Loilen,MMR014011,Loilen,MMR014011701,လွိုင်လင်,Loilen,Shan (South),97.56581,20.92536,District Capital,"GAD, Mar 2015","20.92536,97.56581",
mmr_town_january_2020.129,POINT (97.55048 16.35125),MMR011,MMR011D001,Mawlamyine,MMR011003,Chaungzon,MMR011003701,ချောင်းဆုံ,Chaungzon,Mon,97.55048,16.35125,Main Town,"GAD, Mar 2015","16.35125,97.55048",
mmr_town_january_2020.130,POINT (97.532 20.991),MMR014,MMR014D002,Loilen,MMR014011,Loilen,MMR014011702,ပင်လုံ,Pinlon,Shan (South),97.532,20.991,Other Town,"GAD, Mar 2015","20.991,97.532",
mmr_town_january_2020.131,POINT (97.52699 21.61149),MMR014,MMR014D002,Loilen,MMR014016,Mongkaing,MMR014016701,မိုင်းကိုင်,Mongkaing,Shan (South),97.52699,21.61149,Main Town,"GAD, Mar 2015","21.61149,97.52699",
mmr_town_january_2020.132,POINT (97.52073 19.63174),MMR002,MMR002D001,Loikaw,MMR002004,Shadaw,MMR002004701,ရှားတော,Shadaw,Kayah,97.52073,19.63174,Main Town,"GAD, Mar 2015","19.63174,97.52073",
mmr_town_january_2020.133,POINT (97.4995 19.16673),MMR002,MMR002D002,Bawlake,MMR002005,Bawlake,MMR002005702,ရွာသစ်,Ywarthit,Kayah,97.4995,19.16673,Other Town,"GAD, Mar 2015","19.16673,97.4995",
mmr_town_january_2020.134,POINT (97.46127 24.61398),MMR001,MMR001D003,Bhamo,MMR001012,Momauk,MMR001012703,ဒေါ့ဖုန်းယန်,Dawthponeyan,Kachin,97.46127,24.61398,Other Town,"GAD, Mar 2015","24.61398,97.46127",
mmr_town_january_2020.135,POINT (97.45672 16.61679),MMR011,MMR011D002,Thaton,MMR011008,Paung,MMR011008701,ပေါင်,Paung,Mon,97.45672,16.61679,Main Town,"GAD, Mar 2015","16.61679,97.45672",
mmr_town_january_2020.136,POINT (97.44488 18.06496),MMR003,MMR003D004,Hpapun,MMR003003,Hpapun,MMR003003701,ဖာပွန်,Hpapun,Kayin,97.44488,18.06496,District Capital,"GAD, Mar 2015","18.06496,97.44488",
mmr_town_january_2020.137,POINT (97.44281 25.35099),MMR001,MMR001D001,Myitkyina,MMR001002,Waingmaw,MMR001002701,ဝိုင်းမော်,Waingmaw,Kachin,97.44281,25.35099,Main Town,"GAD, Mar 2015","25.35099,97.44281",
mmr_town_january_2020.138,POINT (97.42371 16.69655),MMR011,MMR011D002,Thaton,MMR011008,Paung,MMR011008702,ဇင်းကျိုက်,Zinkyaik,Mon,97.42371,16.69655,Other Town,"GAD, Mar 2015","16.69655,97.42371",
mmr_town_january_2020.139,POINT (97.4159 27.29934),MMR001,MMR001D004,Puta-O,MMR001014,Puta-O,MMR001014701,ပူတာအို,Puta-O,Kachin,97.4159,27.29934,District Capital,"GAD, Mar 2015","27.29934,97.4159",
mmr_town_january_2020.140,POINT (97.40049 23.09361),MMR015,MMR015D003,Kyaukme,MMR015015,Namtu,MMR015015701,နမ္မတူ,Namtu,Shan (North),97.40049,23.09361,Main Town,"GAD, Mar 2015","23.09361,97.40049",
mmr_town_january_2020.141,POINT (97.39036 25.38749),MMR001,MMR001D001,Myitkyina,MMR001001,Myitkyina,MMR001001701,မြစ်ကြီးနား,Myitkyina,Kachin,97.39036,25.38749,State/Region Capital,"GAD, Mar 2015","25.38749,97.39036",
mmr_town_january_2020.142,POINT (97.3678 16.9197),MMR011,MMR011D002,Thaton,MMR011007,Thaton,MMR011007701,သထုံ,Thaton,Mon,97.3678,16.9197,District Capital,"GAD, Mar 2015","16.9197,97.3678",
mmr_town_january_2020.143,POINT (97.3465314811 24.2509493642),MMR001,MMR001D003,Bhamo,MMR001012,Momauk,MMR001012701,မိုးမောက်,Momauk,Kachin,97.34653148,24.25094936,Main Town,"GAD, Mar 2015","24.2509493642,97.3465314811",
mmr_town_january_2020.144,POINT (97.3428424157 19.1725581843),MMR002,MMR002D002,Bawlake,MMR002005,Bawlake,MMR002005701,ဘောလခဲ,Bawlake,Kayah,97.34284242,19.17255818,District Capital,"GAD, Mar 2015","19.1725581843,97.3428424157",
mmr_town_january_2020.145,POINT (97.31592 18.87063),MMR002,MMR002D002,Bawlake,MMR002006,Hpasawng,MMR002006701,ဖားဆောင်း,Hpasawng,Kayah,97.31592,18.87063,Main Town,"GAD, Mar 2015","18.87063,97.31592",
mmr_town_january_2020.146,POINT (97.30482 17.06022),MMR011,MMR011D002,Thaton,MMR011007,Thaton,MMR011007702,သုဝဏ္ဏဝတီ,Thuwunnawady,Mon,97.30482,17.06022,Other Town,"GAD, Mar 2015","17.06022,97.30482",
mmr_town_january_2020.147,POINT (97.2981 22.61894),MMR015,MMR015D003,Kyaukme,MMR015014,Hsipaw,MMR015014701,သီပေါ,Hsipaw,Shan (North),97.2981,22.61894,Main Town,"GAD, Mar 2015","22.61894,97.2981",
mmr_town_january_2020.148,POINT (97.29311 24.11962),MMR001,MMR001D003,Bhamo,MMR001013,Mansi,MMR001013701,မံစီ,Mansi,Kachin,97.29311,24.11962,Main Town,"GAD, Mar 2015","24.11962,97.29311",
mmr_town_january_2020.149,POINT (97.251903882 20.1622695921),MMR014,MMR014D001,Taunggyi,MMR014004,Hsihseng,MMR014004701,ဆီဆိုင်,Hsihseng,Shan (South),97.25190388,20.16226959,Main Town,"GAD, Mar 2015","20.1622695921,97.251903882",
mmr_town_january_2020.150,POINT (97.23931 17.21987),MMR011,MMR011D002,Thaton,MMR011010,Bilin,MMR011010701,ဘီးလင်း,Bilin,Mon,97.23931,17.21987,Main Town,"GAD, Mar 2015","17.21987,97.23931",
mmr_town_january_2020.151,POINT (97.23441 24.25493),MMR001,MMR001D003,Bhamo,MMR001010,Bhamo,MMR001010701,ဗန်းမော်,Bhamo,Kachin,97.23441,24.25493,District Capital,"GAD, Mar 2015","24.25493,97.23441",
mmr_town_january_2020.152,POINT (97.20993 19.67424),MMR002,MMR002D001,Loikaw,MMR002001,Loikaw,MMR002001701,လွိုင်ကော်,Loikaw,Kayah,97.20993,19.67424,State/Region Capital,"GAD, Mar 2015","19.67424,97.20993",
mmr_town_january_2020.153,POINT (97.17024 20.79743),MMR014,MMR014D001,Taunggyi,MMR014003,Hopong,MMR014003701,ဟိုပုံး,Hopong,Shan (South),97.17024,20.79743,Main Town,"GAD, Mar 2015","20.79743,97.17024",
mmr_town_january_2020.154,POINT (97.16126 22.96407),MMR015,MMR015D003,Kyaukme,MMR015016,Namhsan,MMR015016701,နမ့်ဆန်,Namhsan,Shan (North),97.16126,22.96407,Main Town,"GAD, Mar 2015","22.96407,97.16126",
mmr_town_january_2020.155,POINT (97.15881 19.53832),MMR002,MMR002D001,Loikaw,MMR002002,Demoso,MMR002002701,ဒီးမော့ဆို,Demoso,Kayah,97.15881,19.53832,Main Town,"GAD, Mar 2015","19.53832,97.15881",
mmr_town_january_2020.156,POINT (97.1279939299 19.4138694754),MMR002,MMR002D001,Loikaw,MMR002003,Hpruso,MMR002003701,ဖရှူဆို,Hpruso,Kayah,97.12799393,19.41386948,Main Town,"GAD, Mar 2015","19.4138694754,97.1279939299",
mmr_town_january_2020.157,POINT (97.1222174261 23.246479231),MMR015,MMR015D003,Kyaukme,MMR015019,Manton,MMR015019701,မန်တုံ,Manton,Shan (North),97.12221743,23.24647923,Main Town,"GAD, Mar 2015","23.246479231,97.1222174261",
mmr_town_january_2020.158,POINT (97.03917 24.77923),MMR001,MMR001D001,Myitkyina,MMR001001,Myitkyina,MMR001001702,ဆင်ဘို,Sinbo,Kachin,97.03917,24.77923,Other Town,"GAD, Mar 2015","24.77923,97.03917",
mmr_town_january_2020.159,POINT (97.03671 22.54172),MMR015,MMR015D003,Kyaukme,MMR015012,Kyaukme,MMR015012701,ကျောက်မဲ,Kyaukme,Shan (North),97.03671,22.54172,District Capital,"GAD, Mar 2015","22.54172,97.03671",
mmr_town_january_2020.160,POINT (97.03598 20.77477),MMR014,MMR014D001,Taunggyi,MMR014001,Taunggyi,MMR014001701,တောင်ကြီး,Taunggyi,Shan (South),97.03598,20.77477,State/Region Capital,"GAD, Mar 2015","20.77477,97.03598",
mmr_town_january_2020.161,POINT (97.024 20.371),MMR014,MMR014D001,Taunggyi,MMR014001,Taunggyi,MMR014001703,ကျောက်တလုံးကြီး,Kyauktalonegyi,Shan (South),97.024,20.371,Other Town,"GAD, Mar 2015","20.371,97.024",
mmr_town_january_2020.162,POINT (97.01989 17.31156),MMR011,MMR011D002,Thaton,MMR011009,Kyaikto,MMR011009701,ကျိုက်ထို,Kyaikto,Mon,97.01989,17.31156,Main Town,"GAD, Mar 2015","17.31156,97.01989",
mmr_town_january_2020.163,POINT (97.00896 25.37835),MMR001,MMR001D002,Mohnyin,MMR001008,Mogaung,MMR001008702,နမ္မတီး,Nammatee,Kachin,97.00896,25.37835,Other Town,"GAD, Mar 2015","25.37835,97.00896",
mmr_town_january_2020.164,POINT (97.00831 19.86348),MMR014,MMR014D001,Taunggyi,MMR014010,Pekon,MMR014010701,ဖယ်ခုံ,Pekon,Shan (South),97.00831,19.86348,Main Town,"GAD, Mar 2015","19.86348,97.00831",
mmr_town_january_2020.165,POINT (96.99882 20.77475),MMR014,MMR014D001,Taunggyi,MMR014001,Taunggyi,MMR014001702,အေးသာယာ,Ayetharyar,Shan (South),96.99882,20.77475,Other Town,"GAD, Mar 2015","20.77475,96.99882",
mmr_town_january_2020.166,POINT (96.98402 22.77316),MMR015,MMR015D003,Kyaukme,MMR015012,Kyaukme,MMR015012702,မိုင်းငေါ့,Mongngawt,Shan (North),96.98402,22.77316,Other Town,"GAD, Mar 2015","22.77316,96.98402",
mmr_town_january_2020.167,POINT (96.94038 25.30274),MMR001,MMR001D002,Mohnyin,MMR001008,Mogaung,MMR001008701,မိုးကောင်း,Mogaung,Kachin,96.94038,25.30274,Main Town,"GAD, Mar 2015","25.30274,96.94038",
mmr_town_january_2020.168,POINT (96.93614 20.76015),MMR014,MMR014D001,Taunggyi,MMR014001,Taunggyi,MMR014001704,ရွှေညောင်,Shwenyaung,Shan (South),96.93614,20.76015,Other Town,"GAD, Mar 2015","20.76015,96.93614",
mmr_town_january_2020.169,POINT (96.93206 20.65957),MMR014,MMR014D001,Taunggyi,MMR014002,Nyaungshwe,MMR014002701,ညောင်ရွှေ,Nyaungshwe,Shan (South),96.93206,20.65957,Main Town,"GAD, Mar 2015","20.65957,96.93206",
mmr_town_january_2020.170,POINT (96.92252 21.63124),MMR014,MMR014D001,Taunggyi,MMR014008,Lawksawk,MMR014008702,အင်တော,Intaw,Shan (South),96.92252,21.63124,Other Town,"GAD, Mar 2015","21.63124,96.92252",
mmr_town_january_2020.171,POINT (96.87767 17.92304),MMR007,MMR007D001,Bago,MMR007008,Shwegyin,MMR007008701,ရွှေကျင်,Shwegyin,Bago,96.87767,17.92304,Main Town,"GAD, Mar 2015","17.92304,96.87767",
mmr_town_january_2020.172,POINT (96.86518 21.24664),MMR014,MMR014D001,Taunggyi,MMR014008,Lawksawk,MMR014008701,ရပ်စောက်,Lawksawk,Shan (South),96.86518,21.24664,Main Town,"GAD, Mar 2015","21.24664,96.86518",
mmr_town_january_2020.173,POINT (96.84535 17.91491),MMR007,MMR007D001,Bago,MMR007005,Nyaunglebin,MMR007005702,မဒေါက်,Madauk,Bago,96.84535,17.91491,Other Town,"GAD, Mar 2015","17.91491,96.84535",
mmr_town_january_2020.174,POINT (96.80606 24.20695),MMR001,MMR001D003,Bhamo,MMR001011,Shwegu,MMR001011701,ရွှေကူ,Shwegu,Kachin,96.80606,24.20695,Main Town,"GAD, Mar 2015","24.20695,96.80606",
mmr_town_january_2020.175,POINT (96.79895 22.33003),MMR015,MMR015D003,Kyaukme,MMR015013,Nawnghkio,MMR015013701,နောင်ချို,Nawnghkio,Shan (North),96.79895,22.33003,Main Town,"GAD, Mar 2015","22.33003,96.79895",
mmr_town_january_2020.176,POINT (96.78565 18.91451),MMR003,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,MMR003004704,ဘောဂလိ,Baw Ga Li,Kayin,96.78565,18.91451,Other Town,"GAD, Mar 2015","18.91451,96.78565",
mmr_town_january_2020.177,POINT (96.78219 20.12439),MMR014,MMR014D001,Taunggyi,MMR014009,Pinlaung,MMR014009701,ပင်လောင်း,Pinlaung,Shan (South),96.78219,20.12439,Main Town,"GAD, Mar 2015","20.12439,96.78219",
mmr_town_january_2020.178,POINT (96.76947 18.32733),MMR007,MMR007D002,Taungoo,MMR007011,Kyaukkyi,MMR007011701,ကျောက်ကြီး,Kyaukkyi,Bago,96.76947,18.32733,Main Town,"GAD, Mar 2015","18.32733,96.76947",
mmr_town_january_2020.179,POINT (96.75691 20.29326),MMR014,MMR014D001,Taunggyi,MMR014009,Pinlaung,MMR014009702,နောင်တရား,Naungtayar,Shan (South),96.75691,20.29326,Other Town,"GAD, Mar 2015","20.29326,96.75691",
mmr_town_january_2020.180,POINT (96.72151 17.95323),MMR007,MMR007D001,Bago,MMR007005,Nyaunglebin,MMR007005701,ညောင်လေးပင်,Nyaunglebin,Bago,96.72151,17.95323,Main Town,"GAD, Mar 2015","17.95323,96.72151",
mmr_town_january_2020.181,POINT (96.71655 26.35797),MMR001,MMR001D001,Myitkyina,MMR001004,Tanai,MMR001004701,တနိုင်း,Tanai,Kachin,96.71655,26.35797,Main Town,"GAD, Mar 2015","26.35797,96.71655",
mmr_town_january_2020.182,POINT (96.71597 17.87517),MMR007,MMR007D001,Bago,MMR007005,Nyaunglebin,MMR007005703,ပြွန်တန်ဆာ,Pyuntasa,Bago,96.71597,17.87517,Other Town,"GAD, Mar 2015","17.87517,96.71597",
mmr_town_january_2020.183,POINT (96.71153 25.5226),MMR001,MMR001D002,Mohnyin,MMR001009,Hpakant,MMR001009702,ကာမိုင်း,Kamaing,Kachin,96.71153,25.5226,Other Town,"GAD, Mar 2015","25.5226,96.71153",
mmr_town_january_2020.184,POINT (96.68234 17.4836),MMR007,MMR007D001,Bago,MMR007004,Waw,MMR007004701,ဝေါ,Waw,Bago,96.68234,17.4836,Main Town,"GAD, Mar 2015","17.4836,96.68234",
mmr_town_january_2020.185,POINT (96.67547 19.07339),MMR003,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,MMR003004701,သံတောင်ကြီး,Thandaunggyi,Kayin,96.67547,19.07339,Main Town,"GAD, Mar 2015","19.07339,96.67547",
mmr_town_january_2020.186,POINT (96.66999 23.11422),MMR015,MMR015D008,Mongmit,MMR015017,Mongmit,MMR015017701,မိုးမိတ်,Mongmit,Shan (North),96.66999,23.11422,District Capital,"GAD, Mar 2015","23.11422,96.66999",
mmr_town_january_2020.187,POINT (96.66969 17.78967),MMR007,MMR007D001,Bago,MMR007007,Daik-U,MMR007007701,ဒိုက်ဦး,Daik-U,Bago,96.66969,17.78967,Main Town,"GAD, Mar 2015","17.78967,96.66969",
mmr_town_january_2020.188,POINT (96.66836 18.0699),MMR007,MMR007D001,Bago,MMR007005,Nyaunglebin,MMR007005704,ပိန်းဇလုပ်,Peinzalok,Bago,96.66836,18.0699,Other Town,"GAD, Mar 2015","18.0699,96.66836",
mmr_town_january_2020.189,POINT (96.66279 20.94158),MMR014,MMR014D001,Taunggyi,MMR014006,Pindaya,MMR014006701,ပင်းတယ,Pindaya,Shan (South),96.66279,20.94158,Main Town,"GAD, Mar 2015","20.94158,96.66279",
mmr_town_january_2020.190,POINT (96.63584 20.66122),MMR014,MMR014D001,Taunggyi,MMR014005,Kalaw,MMR014005702,အောင်ပန်း,Aungpan,Shan (South),96.63584,20.66122,Other Town,"GAD, Mar 2015","20.66122,96.63584",
mmr_town_january_2020.191,POINT (96.6552155933 24.478563394),MMR001,MMR001D003,Bhamo,MMR001011,Shwegu,MMR001011702,မြို့လှ,Myo Hla,Kachin,96.65521559,24.47856339,Other Town,"GAD, Mar 2015","24.478563394,96.6552155933",
mmr_town_january_2020.192,POINT (96.6292 23.47292),MMR015,MMR015D008,Mongmit,MMR015018,Mabein,MMR015018701,မဘိမ်း,Mabein,Shan (North),96.6292,23.47292,Main Town,"GAD, Mar 2015","23.47292,96.6292",
mmr_town_january_2020.193,POINT (96.62431 22.7908),MMR015,MMR015D003,Kyaukme,MMR015012,Kyaukme,MMR015012703,မိုင်းလုံ,Monglon,Shan (North),96.62431,22.7908,Other Town,"GAD, Mar 2015","22.7908,96.62431",
mmr_town_january_2020.194,POINT (96.61391 18.15867),MMR007,MMR007D001,Bago,MMR007006,Kyauktaga,MMR007006701,ကျောက်တံခါး,Kyauktaga,Bago,96.61391,18.15867,Main Town,"GAD, Mar 2015","18.15867,96.61391",
mmr_town_january_2020.195,POINT (96.59657 17.02939),MMR007,MMR007D001,Bago,MMR007003,Kawa,MMR007003702,သက္ကလ,Thetkala,Bago,96.59657,17.02939,Other Town,"GAD, Mar 2015","17.02939,96.59657",
mmr_town_january_2020.196,POINT (96.58266 19.02175),MMR003,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,MMR003004702,သံတောင်,Thandaung,Kayin,96.58266,19.02175,Other Town,"GAD, Mar 2015","19.02175,96.58266",
mmr_town_january_2020.197,POINT (96.58097 19.22235),MMR003,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,MMR003004703,လိပ်သို,Leik Tho,Kayin,96.58097,19.22235,Other Town,"GAD, Mar 2015","19.22235,96.58097",
mmr_town_january_2020.198,POINT (96.57664 17.28903),MMR007,MMR007D001,Bago,MMR007002,Thanatpin,MMR007002701,သနပ်ပင်,Thanatpin,Bago,96.57664,17.28903,Main Town,"GAD, Mar 2015","17.28903,96.57664",
mmr_town_january_2020.199,POINT (96.56886 18.22271),MMR007,MMR007D001,Bago,MMR007006,Kyauktaga,MMR007006702,ပဲနွယ်ကုန်း,Penwegon,Bago,96.56886,18.22271,Other Town,"GAD, Mar 2015","18.22271,96.56886",
mmr_town_january_2020.200,POINT (96.5605 16.90544),MMR013,MMR013D003,Yangon (South),MMR013026,Kayan,MMR013026701,ခရမ်း,Kayan,Yangon,96.5605,16.90544,Main Town,"GAD, Mar 2015","16.90544,96.5605",
mmr_town_january_2020.201,POINT (96.55864 20.62418),MMR014,MMR014D001,Taunggyi,MMR014005,Kalaw,MMR014005701,ကလော,Kalaw,Shan (South),96.55864,20.62418,Main Town,"GAD, Mar 2015","20.62418,96.55864",
mmr_town_january_2020.202,POINT (96.53949 16.64788),MMR013,MMR013D003,Yangon (South),MMR013024,Kyauktan,MMR013024702,တံတား,Tadar,Yangon,96.53949,16.64788,Other Town,"GAD, Mar 2015","16.64788,96.53949",
mmr_town_january_2020.203,POINT (96.53019 24.99183),MMR001,MMR001D002,Mohnyin,MMR001007,Mohnyin,MMR001007702,ဟိုပင်,Hopin,Kachin,96.53019,24.99183,Other Town,"GAD, Mar 2015","24.99183,96.53019",
mmr_town_january_2020.204,POINT (96.52654 17.47538),MMR007,MMR007D001,Bago,MMR007001,Bago,MMR007001702,ဘုရားကြီး,Hpayargyi,Bago,96.52654,17.47538,Other Town,"GAD, Mar 2015","17.47538,96.52654",
mmr_town_january_2020.205,POINT (96.52309 16.7586),MMR013,MMR013D003,Yangon (South),MMR013025,Thongwa,MMR013025701,သုံးခွ,Thongwa,Yangon,96.52309,16.7586,Main Town,"GAD, Mar 2015","16.7586,96.52309",
mmr_town_january_2020.206,POINT (96.5054 22.92139),MMR010,MMR010D002,Pyinoolwin,MMR010011,Mogoke,MMR010011701,မိုးကုတ်,Mogoke,Mandalay,96.5054,22.92139,Main Town,"GAD, Mar 2015","22.92139,96.5054",
mmr_town_january_2020.207,POINT (96.49851 18.84022),MMR007,MMR007D002,Taungoo,MMR007014,Htantabin,MMR007014701,ထန်းတပင် ပဲခူး,Htantabin Bago,Bago,96.49851,18.84022,Main Town,"GAD, Mar 2015","18.84022,96.49851",
mmr_town_january_2020.208,POINT (96.49218 18.3404),MMR007,MMR007D002,Taungoo,MMR007012,Phyu,MMR007012702,ကညွတ်ကွင်း,Kanyutkwin,Bago,96.49218,18.3404,Other Town,"GAD, Mar 2015","18.3404,96.49218",
mmr_town_january_2020.209,POINT (96.48389 17.33583),MMR007,MMR007D001,Bago,MMR007001,Bago,MMR007001701,ပဲခူး,Bago,Bago,96.48389,17.33583,State/Region Capital,"GAD, Mar 2015","17.33583,96.48389",
mmr_town_january_2020.210,POINT (96.46632 17.08967),MMR007,MMR007D001,Bago,MMR007003,Kawa,MMR007003701,ကဝ,Kawa,Bago,96.46632,17.08967,Main Town,"GAD, Mar 2015","17.08967,96.46632",
mmr_town_january_2020.211,POINT (96.45634 22.01397),MMR010,MMR010D002,Pyinoolwin,MMR010008,Pyinoolwin,MMR010008701,ပြင်ဦးလွင်,Pyinoolwin,Mandalay,96.45634,22.01397,District Capital,"GAD, Mar 2015","22.01397,96.45634",
mmr_town_january_2020.212,POINT (96.44229 21.16282),MMR014,MMR014D001,Taunggyi,MMR014007,Ywangan,MMR014007701,ရွာငံ,Ywangan,Shan (South),96.44229,21.16282,Main Town,"GAD, Mar 2015","21.16282,96.44229",
mmr_town_january_2020.213,POINT (96.43572 18.48438),MMR007,MMR007D002,Taungoo,MMR007012,Phyu,MMR007012701,ဖြူး,Phyu,Bago,96.43572,18.48438,Main Town,"GAD, Mar 2015","18.48438,96.43572",
mmr_town_january_2020.214,POINT (96.43314 18.93953),MMR007,MMR007D002,Taungoo,MMR007009,Taungoo,MMR007009701,တောင်ငူ,Taungoo,Bago,96.43314,18.93953,District Capital,"GAD, Mar 2015","18.93953,96.43314",
mmr_town_january_2020.215,POINT (96.43084 18.54097),MMR007,MMR007D002,Taungoo,MMR007012,Phyu,MMR007012703,ဇေယျ၀တီ,Zayyawadi,Bago,96.43084,18.54097,Other Town,"GAD, Mar 2015","18.54097,96.43084",
mmr_town_january_2020.216,POINT (96.41363 18.83293),MMR007,MMR007D002,Taungoo,MMR007013,Oktwin,MMR007013701,အုတ်တွင်း,Oktwin,Bago,96.41363,18.83293,Main Town,"GAD, Mar 2015","18.83293,96.41363",
mmr_town_january_2020.217,POINT (96.40357 19.01432),MMR007,MMR007D002,Taungoo,MMR007009,Taungoo,MMR007009702,ကေတုမတီ,Kaytumati,Bago,96.40357,19.01432,Other Town,"GAD, Mar 2015","19.01432,96.40357",
mmr_town_january_2020.218,POINT (96.37637 17.18087),MMR007,MMR007D001,Bago,MMR007001,Bago,MMR007001703,အင်းတကော်,Inntakaw,Bago,96.37637,17.18087,Other Town,"GAD, Mar 2015","17.18087,96.37637",
mmr_town_january_2020.219,POINT (96.3649259651 24.7771131683),MMR001,MMR001D002,Mohnyin,MMR001007,Mohnyin,MMR001007701,မိုးညှင်း,Mohnyin,Kachin,96.36492597,24.77711317,District Capital,"GAD, Mar 2015","24.7771131683,96.3649259651",
mmr_town_january_2020.220,POINT (96.34234 19.15693),MMR007,MMR007D002,Taungoo,MMR007010,Yedashe,MMR007010701,ရေတာရှည်,Yedashe,Bago,96.34234,19.15693,Main Town,"GAD, Mar 2015","19.15693,96.34234",
mmr_town_january_2020.221,POINT (96.33167 24.18163),MMR005,MMR005D004,Katha,MMR005020,Katha,MMR005020701,ကသာ,Katha,Sagaing,96.33167,24.18163,District Capital,"GAD, Mar 2015","24.18163,96.33167",
mmr_town_january_2020.222,POINT (96.32351 16.63393),MMR013,MMR013D003,Yangon (South),MMR013024,Kyauktan,MMR013024701,ကျောက်တန်း,Kyauktan,Yangon,96.32351,16.63393,Main Town,"GAD, Mar 2015","16.63393,96.32351",
mmr_town_january_2020.223,POINT (96.31212 25.6128),MMR001,MMR001D002,Mohnyin,MMR001009,Hpakant,MMR001009701,ဖားကန့်,Hpakant,Kachin,96.31212,25.6128,Main Town,"GAD, Mar 2015","25.6128,96.31212",
mmr_town_january_2020.224,POINT (96.29072 19.26498),MMR007,MMR007D002,Taungoo,MMR007010,Yedashe,MMR007010702,ဆွာ,Hswar,Bago,96.29072,19.26498,Other Town,"GAD, Mar 2015","19.26498,96.29072",
mmr_town_january_2020.225,POINT (96.26804 19.47438),MMR007,MMR007D002,Taungoo,MMR007010,Yedashe,MMR007010703,ရေနီ,Yae Ni,Bago,96.26804,19.47438,Other Town,"GAD, Mar 2016","19.47438,96.26804","New Town, GAD Mar 2016 (order no. 961/2016)"
mmr_town_january_2020.226,POINT (96.26628 19.40442),MMR007,MMR007D002,Taungoo,MMR007010,Yedashe,MMR007010704,မြို့လှ,Myo Hla,Bago,96.26628,19.40442,Other Town,"GAD, Mar 2016","19.40442,96.26628",
mmr_town_january_2020.227,POINT (96.25184 16.76378),MMR013,MMR013D003,Yangon (South),MMR013023,Thanlyin,MMR013023701,သန်လျင်,Thanlyin,Yangon,96.25184,16.76378,Main Town,"GAD, Mar 2015","16.76378,96.25184",
mmr_town_january_2020.228,POINT (96.22745 17.09875),MMR013,MMR013D001,Yangon (North),MMR013004,Hlegu,MMR013004701,လှည်းကူး,Hlegu,Yangon,96.22745,17.09875,Main Town,"GAD, Mar 2015","17.09875,96.22745",
mmr_town_january_2020.229,POINT (96.2094 26.69478),MMR001,MMR001D001,Myitkyina,MMR001004,Tanai,MMR001004702,ရှင်ဗွေယန်,Shin Bway Yang,Kachin,96.2094,26.69478,Other Town,"GAD, Mar 2015","26.69478,96.2094",
mmr_town_january_2020.230,POINT (96.20895 19.7361),MMR018,MMR018D002,Det Khi Na,MMR018006,Pyinmana,MMR018006701,ပျဉ်းမနား,Pyinmana,Nay Pyi Taw,96.20895,19.7361,Main Town,"GAD, Mar 2015","19.7361,96.20895",
mmr_town_january_2020.231,POINT (96.20297 20.13041),MMR018,MMR018D001,Oke Ta Ra,MMR018003,Tatkon,MMR018003701,တပ်ကုန်း,Tatkon,Nay Pyi Taw,96.20297,20.13041,Main Town,"GAD, Mar 2015","20.13041,96.20297",
mmr_town_january_2020.232,POINT (96.18566 19.80326),MMR018,MMR018D001,Oke Ta Ra,MMR018001,Zay Yar Thi Ri,MMR018000777,နေပြည်တော်,Nay Pyi Taw,Nay Pyi Taw,96.18566,19.80326,Union Capital,,"19.80326,96.18566",
