,Filename,PDF Link,Title
23,Leaflet No.2.Yan Myo Naing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.2.Yan%20Myo%20Naing_1.pdf,Study on Growth Responses from Different Thinning Grades Applied to Pterocarpus macrocarpus kurz. (Padauk) Plantation
24,Leaflet No.1. Dr Chaw Chaw Sein.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.1.%20Dr%20Chaw%20Chaw%20Sein.pdf,Study on Growth and Productivity of Six Tropical Exotic Pine Species in the Taung Lay Lone Reserved Forest
25,Leaflet No.16. Aung Soe.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.16.%20Aung%20Soe_0.pdf,Preliminary Study on Value added Bamboo Handicraft Processing
26,Leaflet No.15.Chaw Sein _fuelwood_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.15.Chaw%20Sein%20%20_fuelwood__0.pdf,"Study on Consumption of Fuelwood, Causes of Forest Degradation and Deforestation in the Taungyi District"
27,Leaflet No.14.Aung Myo Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.14.Aung%20Myo%20Win_0.pdf,Analysis of Land Cover Change Detection Using Satellite Images in Paukkaung Township Area
28,Leaflet No.13. Cho Cho Myint.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.13.%20Cho%20Cho%20Myint_0.pdf,"Investigation on Anisotropy, Fiber Saturation Point, Swelling and Periodical Water Uptake of Plantation Teak at Different Ages"
29,Leaflet No.12.Cho Cho Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.12.Cho%20Cho%20Win_0.pdf,Dimensional Changes and Mechanical Properties of Acetylated Three Lesser Used Timber Species of Myanmar
30,Leaflet No.11.Thida Cho.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.11.Thida%20Cho_0.pdf,Preliminary Investigation of Ethanol Potential from Fermented Liquid Filtrates of Some Bamboo Species
31,Leaflet No.10.Su Myint Than.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.10.Su%20Myint%20Than.pdf,Investigation on the Some Active Compounds of the Agarwood Oil (Aquilaria agallocha Roxb)
32,Leaflet No.9.Kyaw Win Mg.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.9.Kyaw%20Win%20Mg.pdf,Comparison on wood anatomical characteristics of infected and non-infected agarwood from AquilariamalaccensisLamk.
33,Leaflet No.8. Ei Sandi Sett.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.8.%20Ei%20Sandi%20Sett.pdf,Ecotourism and Community Development: A Case Study in Myanmar’s Inle Lake Wildlife Sanctuary
34,Leaflet No.7. Inkyin Khaing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.7.%20Inkyin%20Khaing_0.pdf,Assessment of the Environmental Awareness of Local People Living in and around Forests in Myanmar: A Case Study in Yaedashae and Pauk-kaung Townships
35,Leaflet No.6.Tin Min Maung.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.6.Tin%20Min%20Maung_0.pdf,Measuring Good Governance in Certified and Traditionally Managed Community Forests at Nyaung Oo Township
36,Leaflet No.5.Thida Swe.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.5.Thida%20Swe.pdf,Carbon Stock Determination in Peat Soil of Heho Valley Peatland Area
37,Leaflet No.4. Dr.Nyaunt Khaing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.4.%20Dr.Nyaunt%20Khaing_1.pdf,Structure and Composition of Dry Deciduous Forests in Central Myanmar
38,Leaflet No.2.Yan Myo Naing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.2.Yan%20Myo%20Naing_0.pdf,"Construction of Standard Volume Table: A Case Study in Three Teak Plantations with Different Ages in Bago Township, Bago District, Bago Region, Myanmar"
39,Leaflet No.1. Dr Kyaw Tint.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.1.%20Dr%20Kyaw%20Tint_0.pdf,Modifying Myanma Selection System
40,Leaflet No.20.Aung Soe (Kiln Schedule).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.20.Aung%20Soe%20%28Kiln%20Schedule%29_0.pdf,Study on Proposed Kiln Schedule of Some Commercial Hardwood Species from Tanintharyi Region
41,Leaflet No.19.Cho Cho Win(Bamboo).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.19.Cho%20Cho%20Win%28Bamboo%29_0.pdf,Investigation on the Effectiveness of Preservation Methods on Natural Durability of Some Myanmar Important Bamboo Species
42,Leaflet No.18. Thida Cho(Sagawar).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.18.%20Thida%20Cho%28Sagawar%29_0.pdf,"(Leaves,Stem-barks) of “Sagawa” (Micheliachampaca Linn)"
43,Leaflet No.17. Cho Cho Myint.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.17.%20Cho%20Cho%20Myint_0.pdf,"Study on Wood Anatomical Characters, Physical and Mechanical Properties of Cherry‐Bo (Betula alnoides Han.) and Tayok‐ Khaung‐Bin (Taiwania cryptomerioides Hayata)"
44,Leaflet No.16. Thida Cho( IN).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.16.%20Thida%20Cho%28%20IN%29.pdf,Study on the Production Methods of In‐Resin (Dipterocarpustuberculatus) and their Chemical properties
45,Leaflet No.15. Myint Myint San.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.15.%20Myint%20Myint%20San.pdf,"Preliminary Study on Medicinal Uses and Phyto- Chemicals of the Anoectochilus albolineatus Parish& Rchb.f. in Tarmoe-Nye Township, Northern State"
46,Leaflet No.14.Yi Yi Han.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.14.Yi%20Yi%20Han_0.pdf,Morphology and Anatomy of Four Myanmar Species of the Genus Acacia from Dry Zone
47,Leaflet No.13.Kyaw Win Maung.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.13.Kyaw%20Win%20Maung_0.pdf,Investigation of Morphological and Stem Anatomical Features of Five Rattan Species Growing in Ayeyarwady Region
48,Leaflet No.12.ChoChoWin (Eucalyptu).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.12.ChoChoWin%20%28Eucalyptu%29_0.pdf,The Effectiveness of Wood Preservatives on the Natural Durability of Eucalyptus camaldulensis
